uid;title;source_site;source_id_string;thumbnail;is_visible;created_date;modified_date;short_desc;posted_by_id
113;lebreton - pylon;youtube;FWfLqwD1s2M;static/sonovsite/son/lebreton_-_pylon.JPG;t;2017-07-28 18:00:00+02;2017-07-27 13:52:02.780514+02;Les autres tracks de LeBreton valent le détour !;2
114;monsieur monsieur - anotheart;youtube;D5hQdX7DdUw;static/sonovsite/son/monsieur_monsieur_-_anotheart.JPG;t;2017-07-29 18:00:00+02;2017-07-27 13:54:16.688958+02;Vous sentez l'influence Gesaffelstein ?;2
115;santé - awake;soundcloud;180723297;static/sonovsite/son/santé_-_awake.JPG;t;2017-08-02 12:09:55+02;2017-08-02 12:11:17.797338+02;Besoin d'aller vous coucher ? Non ? On continue...;2
116;matt flores - golden we;youtube;DwF-vxCHRbs;static/sonovsite/son/matt_flores_-_golden_we.JPG;t;2017-08-03 12:34:38+02;2017-08-03 12:37:30.302204+02;Love Unlimited Vibes... Bien trouvé !;2
117;damian lazarus & the ancient moons - lovers' eyes;youtube;pQD0-QZBH88;static/sonovsite/son/damian_lazarus__the_ancient_moons_-_lovers_eyes.JPG;t;2017-08-04 13:28:22+02;2017-08-04 13:28:26.889553+02;Mohe Pi Ki Najariya;2
118;grayhuman - blender;youtube;RvTMFZ9p_9c;static/sonovsite/son/grayhuman-_blender.JPG;t;2017-08-05 18:00:00+02;2017-08-04 13:29:36.646887+02;Tu veux d'l'agression ?!;2
119;alafran16 - smile;soundcloud;304140384;static/sonovsite/son/alafran16_-_smile.JPG;t;2017-08-10 12:43:41+02;2017-08-10 12:50:05.98795+02;The shadow of your smile...;2
122;Yoggyone - Crapule;soundcloud;105679965;static/sonovsite/son/yoggyone_crapule.jpg;t;2017-08-11 18:59:44+02;2017-08-12 08:45:50.915541+02;;3
125;basecamp - in stone;youtube;fH9Ft4q2aPA;static/sonovsite/son/basecamp_-_in_stone.JPG;t;2017-08-17 13:32:06+02;2017-08-17 13:32:46.826996+02;Je vous conseille le reste de l'EP éponyme !;2
120;blenn & gleich - believer;youtube;Xr8tv4wIYBk;static/sonovsite/son/blenn__gleich_-_believer.JPG;t;2017-08-11 18:00:00+02;2017-08-10 14:41:00.788404+02;Petit côté western avec l'harmonica !;2
121;kuage - a part of you;soundcloud;101223141;static/sonovsite/son/kuage_-_a_part_of_you.JPG;t;2017-08-12 18:00:00+02;2017-08-10 12:48:55.19956+02;Pa-pa-pa-part of you !;2
123;Ametsub - Muffled Blue;youtube;eDZJET_oCPs;static/sonovsite/son/ametsub_muffled_blue.jpg;t;2017-08-13 00:00:00+02;2017-08-11 22:29:12.692472+02;;3
